song_name,artist,album,genre
Chun-Li,Nicki Minaj,Queen,Pop
Hey Hey Hey,Katy Perry,Witness,Pop
Youth feat. Khalid,Shawn Mendes,Shawn Mendes,Pop
God is a woman,Ariana Grande,Sweetener,Pop
sweetener,Ariana Grande,Sweetener,Pop
no tears left to cry,Ariana Grande,Sweetener,Pop
goodnight n go,Ariana Grande,Sweetener,Pop
successful,Ariana Grande,Sweetener,Pop
7 rings,Ariana Grande,7 rings,Pop
R.E.M,Ariana Grande,Sweetener,Pop
Gorgeous,Taylor Swift,reputation (Big Machine Radio Release Special),Pop
R.E.M,Ariana Grande,Sweetener,Pop
pete davidson,Ariana Grande,Sweetener,Pop
raindrops (an angel cried),Ariana Grande,Sweetener,Pop
NASA,Ariana Grande,"thank u, next",Pop
ghostin,Ariana Grande,"thank u, next",Pop
Breaking Free,Melodyia Music,Now Or Never,Pop
Starstruck,Christopher Wilde,StarStruck,Pop
7 Things - Single Version,Miley Cyrus,Breakout,Pop
Big Time Rush,Big Time Rush,BTR,Pop
Moves Like Jagger,Maroon 5,Singles,Pop
This Love,Maroon 5,Songs About Jane: 10th Anniversary Edition,Pop
Little Talks,Of Monsters and Men,My Head Is An Animal,Pop
One More Night,Maroon 5,Overexposed Track By Track,Pop
Counting Stars,OneRepublic,Native,Pop
Shape of You,Ed Sheeran,÷,Pop
I Kissed A Girl,Katy Perry,One Of The Boys,Pop
Part Of Me,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,Pop
The Heart Wants What It Wants,Selena Gomez,The Heart Wants What It Wants,Pop
Trumpets,Jason Derulo,Tattoos,Pop
Starboy,The Weeknd,Starboy,Pop
We Are Never Ever Getting Back Together,Taylor Swift,Red,Pop
Can't Help Falling in Love,Christian Leave,Hope,Pop
I Don't Fuck With You,Big Sean,Dark Sky Paradise,Pop
I Feel It Coming,The Weeknd,Starboy,Pop
All About Us,He Is We,My Forever,Pop
As Long As You Love Me,Justin Bieber,Believe,Pop
22,Taylor Swift,Red,Pop
Burn,Ellie Goulding,Halcyon Days,Pop
Love Me Like You Do,Ellie Goulding,Fifty Shades Freed,Pop
They Don't Know About Us,One Direction,Take Me Home: Yearbook Edition,Pop
Cry Me a River,Justin Timberlake,Justified,Pop
What About Love,Austin Mahone,The Secret,Pop
Rude,MAGIC!,Don't Kill the Magic,Pop
Fire Burning,Sean Kingston,Tomorrow,Pop
Mirrors,Justin Timberlake,The 20/20 Experience,Pop
Thinking out Loud,Ed Sheeran,x,Pop
Faded,Alan Walker,Faded,Pop
No Lie,Sean Paul,No Lie,Pop
Cheap Thrills,Sia,This Is Acting,Pop
Lucky Strike,Troye Sivan,Bloom,Pop
Hope,The Chainsmokers,Sick Boy,Pop
Bad Liar,Imagine Dragons,Bad Liar,Pop
Rise,Jonas Blue,Rise,Pop
1999,Charli XCX,1999,Pop
Right Now,Nick Jonas,Right Now,Pop
No Place,Backstreet Boys,No Place,Pop
Happy Now,Zedd,Happy Now,Pop
LET YOU BE RIGHT,Meghan Trainor,LET YOU BE RIGHT,Pop
Night Like This,Shawn Desman,Fresh,Pop
High School Dropout,Neon Dreams,High School Dropout,Pop
Slow Hands,Niall Horan,Flicker (Deluxe),Pop
Undrunk,FLETCHER,Undrunk,Pop
Best I Ever Had,Drake,Thank Me Later (Int'l Version),Pop
Connection,OneRepublic,Connection,Pop
Yours,Lo Lo,Yours,Pop
8 Letters,Why Don't We,8 Letters,Pop
Preach,John Legend,Preach,Pop
Love Me,Felix Cartal,Love Me,Pop
Can't Breathe,Fefe Dobson,Joy,Pop
In the Name of Love,Martin Garrix,In the Name of Love,Pop
Kill Em With Kindness,Selena Gomez,Revival (Deluxe),Pop
I Would Like,Zara Larsson,I Would Like,Pop
Instant Crush,Daft Punk,Random Access Memories,Pop
Faded - Dash Berlin Remix,Alan Walker,Faded (Remixes),Pop
One More Time,Daft Punk,Discovery,Pop
Never Forget You,Zara Larsson,Never Forget You,Pop
Smash the Funk,GRiZ,Mad Liberation,Pop
Go Fuck Yourself,Two Feet,First Steps,Pop
Starboy,The Weeknd,Starboy,Pop
Cheap Thrills,Sia,This Is Acting,Pop
We Don't Talk Anymore,Charlie Puth,Nine Track Mind,Pop
Roses,The Chainsmokers,Roses,Pop
One Dance,Drake,One Dance,Pop
Dangerous (feat. Sam Martin),David Guetta,Listen,Pop
Radioactive,Imagine Dragons,Night Visions,Pop
Send My Love (To Your New Lover),Adele,25,Pop
Blame,Calvin Harris,Motion,Pop
Waiting For Love,Avicii,Stories,Pop
Chandelier,Sia,1000 Forms Of Fear,Pop
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,Pop
Dark Horse,Katy Perry,PRISM (Deluxe),Pop
Stay,Zedd,Stay,Pop
Let Me Love You,DJ Snake,Encore,Pop
Paper Planes,M.I.A.,Kala,Pop
Never Be Alone,TheFatRat,Never Be Alone,Pop
Limitless,Elektronomia,Limitless,Pop
Revolution,Diplo,Revolution,Pop
Cold Water,Major Lazer,Cold Water,Pop
Audio,Sia,Audio,Pop
Stole the Show,Kygo,Cloud Nine,Pop
On & On,Cartoon,On & On,Pop
Why We Lose,Cartoon,Why We Lose,Pop
Animals,Maroon 5,V,Pop
I'd Love To Change The World - Matstubs Remix,Jetta,I'd Love To Change The World (Matstubs Remix),Pop
All We Know,The Chainsmokers,All We Know,Pop
Let Me Hold You (Turn Me On),Cheat Codes,Let Me Hold You (Turn Me On),Pop
Lush Life,Zara Larsson,So Good,Pop
Waiting For Love,Avicii,Stories,Pop
One Dance,Drake,Views,Pop
Somebody Else,Zonoma,Somebody Else,Pop
Attention,Charlie Puth,Attention,Pop
Hunter,Galantis,Hunter,Pop
Stay (with Alessia Cara),Zedd,Stay,Pop
Do You Mean,The Chainsmokers,World War Joy...Do You Mean,Pop
The Heart Wants What It Wants,Selena Gomez,For You,Pop
No Vacancy (feat. Amir),OneRepublic,Addictions,Pop
Under Control,Calvin Harris,Motion,Pop
Let Me Love You,DJ Snake,Encore,Pop
Animals,Maroon 5,V,Pop
Talk Dirty (feat. 2 Chainz),Jason Derulo,Tattoos,Pop
Treat You Better,Shawn Mendes,Illuminate,Pop
Wish You Were Here - Radio Edit,The.madpix.project,Wish You Were Here,Pop
Together,Martin Garrix,Seven,Pop
Mandy,Ian Storm,Mandy,Pop
when u come around,Jay-C,when u come around,Pop
Into Your Arms,Kxa,Into Your Arms,Pop
Solo Dance,Martin Jensen,Solo Dance,Pop
Don't Wanna Know,Maroon 5,Don't Wanna Know,Pop
I Feel It Coming,The Weeknd,Starboy,Pop
Lady (feat. Pitbull),Austin Mahone,For Me+You,Pop
By Your Side,Jonas Blue,By Your Side,Pop
Shed a Light,Robin Schulz,Shed A Light,Pop
Counting Stars,OneRepublic,Native,Pop
Mercy,Shawn Mendes,Illuminate,Pop
A Sky Full of Stars,Coldplay,Ghost Stories,Pop
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,Pop
Be the One,Dua Lipa,Dua Lipa (Deluxe),Pop
Mask Off,Future,FUTURE,Pop
In My Feelings,Drake,Scorpion,Pop
God's Plan,Drake,Scorpion,Pop
No Lie,Sean Paul,Mad Love The Prequel,Pop
One Dance,Drake,Views,Pop
What Lovers Do (feat. SZA),Maroon 5,Red Pill Blues (Deluxe),Pop
Passionfruit,Drake,More Life,Pop
She Will Be Loved ,Maroon 5,Songs About Jane,Pop
Maps,Maroon 5,V,Pop
Yellow,Coldplay,Parachutes,Pop
Fix You,Coldplay,X&Y,Pop
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,Pop
Somebody Else,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",Pop
Controlla,Drake,Views,Pop
Symphony (feat. Zara Larsson),Clean Bandit,Symphony (feat. Zara Larsson),Pop
I Miss You (feat. Julia Michaels),Clean Bandit,I Miss You (feat. Julia Michaels),Pop
Wake Me Up,Avicii,True,Pop
Without You (feat. Sandro Cavazza),Avicii,AVĪCI (01),Pop
Lonely Together (feat. Rita Ora),Avicii,AVĪCI (01),Pop
The Nights,Avicii,The Days / Nights,Pop
You Make Me,Avicii,True,Pop
For A Better Day,Avicii,Stories,Pop
Addicted To You,Avicii,True,Pop
Talk To Myself,Avicii,Stories,Pop
Too Close,Prismo,Too Close,Pop
do re mi,blackbear,digital druglord,Pop
hot girl bummer,blackbear,hot girl bummer,Pop
Dear God,Confetti,Dear God,Pop
i miss the old u,blackbear,digital druglord,Pop
goosebumps,Travis Scott,Birds In The TRap Sing McKnight,Pop
Turbo Killer,Carpenter Brut,TRILOGY,Pop
One More Night,Maroon 5,Overexposed Track By Track,Pop
The Scientist,Coldplay,A Rush of Blood to the Head,Pop
Treat You Better,Shawn Mendes,Illuminate,Pop
Payphone,Maroon 5,Overexposed Track By Track,Pop
Clocks,Coldplay,A Rush of Blood to the Head,Pop
Hypnotised,Franc Moody,Dance Moves,Pop
Carluccio,Loyle Carner,"Not Waving, But Drowning",Pop
Julia,Jungle,Jungle,Pop
So Good Looking,The Kooks,So Good Looking,Pop
Still Beating,Mac DeMarco,This Old Dog,Pop
Feeling Lonely,boy pablo,Soy Pablo,Pop
Dance Moves,Franc Moody,Dance Moves,Pop
Wildflower,Joe Corfield,Chillhop Essentials Spring 2018,Pop
Enough to Believe,Bob Moses,Battle Lines,Pop
No Pressure,The Kooks,Let's Go Sunshine,Pop
Sisters,Leoniden,Leoniden,Pop
Dreams,Beck,Colors,Pop
Dissolve Me,alt-J,An Awesome Wave,Pop
Dopamine,Franc Moody,Dopamine,Pop
Nightgowns,Tom Misch,Beat Tape 2,Pop
Time,Jungle,Jungle,Pop
The Sun,Myd,All Inclusive,Pop
Overnight,Parcels,Overnight,Pop
Could Be Fun,Banana Club,Could Be Fun,Pop
Fool's Gold,Tessa Kaye,Fool's Gold,Pop
flowerbeds,Sfven,flowerbeds,Pop
Build Me Up Buttercup,Keni,Build Me Up Buttercup,Pop
Uncut Larry Smith,Larry Smith,Uncut Larry Smith,Pop
Home,Fortuno,Home,Pop
All Over Me,Cards,All Over Me,Pop
Odeia,I See Colors,ZzZz,Pop
Against Us,Telehope,Against Us,Pop
My Darling Heart,J.Pappas,My Darling Heart,Pop
Daydreaming,Fletcher Reed,Daydreaming,Pop
Cold,Tempi,Cold,Pop
To Comprehend,Marrakesh,To Comprehend,Pop
Tomorrow,Dawson Hollow,Double Single,Pop
Happy,Noa Jamir,Happy,Pop
Missing Piece,Honey Butter,Honey Butter,Pop
Well Known,Atlas in Motion,Well Known,Pop
Twisted,Sophie Gray,Twisted,Pop
Everything,DARKMINDS,Everything,Pop
Stockholm,Atlas Genius,Inanimate Objects,Pop
Sweet Talk,Saint Motel,saintmotelevision,Pop
Miss You Like Hell,Nightly,The Sound Of Your Voice,Pop
New Friends,Maty Noyes,Love Songs From A Lolita,Pop
Say the Word,Emily Vaughn,Say the Word,Pop
Something New,Secret Weapons,As the setting sun comes crashing down on me,Pop
Navigator,MOONZz,Navigator,Pop
Dreaming,Smallpools,LOVETAP!,Pop
Fire Alarm,Castlecomer,Castlecomer,Pop
Kidnap Me,CRUISR,All Over,Pop
Take It or Leave It,Great Good Fine Ok,III,Pop
"Hurry, Hurry",Air Traffic Controller,Nordo,Pop
Ready For You,Hunter Hunted,Ready For You,Pop
A Phone Call In Amsterdam,Valley,MAYBE,Pop
Feeling Electric,Parade of Lights,Feeling Electric,Pop
Don't Change Me,Kid Runner,Don't Change Me,Pop
Two High,Moon Taxi,Let The Record Play,Pop
Brazooka,NVDES,Brazooka,Pop
Feel,Victors,Feel,Pop
Cold Cold Man,Saint Motel,My Type EP,Pop
Careless,Vacation Manor,"Girl, Say",Pop
Golden Age,The Electric Sons,Golden Age,Pop
Back Together,Loote,Back Together,Pop
Guru,Coast Modern,Coast Modern,Pop
Once In a While,Timeflies,Once In a While,Pop
You & Me,Marc E. Bassy,Groovy People,Pop
Starving,Hailee Steinfeld,Starving,Pop
Fast Car,Jonas Blue,Fast Car,Pop
Lush Life,Zara Larsson,Lush Life,Pop
Don't Wanna Know,Maroon 5,Don't Wanna Know,Pop
Solo Dance,Martin Jensen,Solo Dance,Pop
Debut,Maria Hazell,Debut,Pop
All Night,The Vamps,All Night,Pop
Whole Heart,Gryffin,Whole Heart,Pop
Sexual,NEIKED,Sexual,Pop
Runaways,Sam Feldt,Runaways,Pop
Let Me Hold You (Turn Me On),Cheat Codes,Let Me Hold You (Turn Me On),Pop
Inside the Lines,Mike Perry,Inside the Lines,Pop
Kids,OneRepublic,Oh My My,Pop
Waiting For Love,Avicii,Stories,Pop
Wild Things,Alessia Cara,Know-It-All (Deluxe),Pop
The Nights,Avicii,The Nights (Avicii By Avicii),Pop
Kanye,The Chainsmokers,Kanye,Pop
Paradise,Coldplay,Mylo Xyloto,Pop
Happy,Oh Wonder,Happy,Pop
I'll Be Good,Jaymes Young,Feel Something,Pop
Highway,Cheat Codes,Highway,Pop
Bad At Love,Halsey,hopeless fountain kingdom (Deluxe),Pop
One Dance,Drake,Views,Pop
Takeaway (feat. Lennon Stella),The Chainsmokers,World War Joy...Takeaway,Pop
Say My Name,David Guetta,Say My Name,Pop
Con Calma,Daddy Yankee,Con Calma,Pop
Harder,Jax Jones,Snacks,Pop
Call You Mine,The Chainsmokers,World War Joy,Pop
Never Really Over,Katy Perry,Never Really Over,Pop
Enemies,Lauv,I met you when I was 18. (the playlist),Pop
Lost In Japan,Shawn Mendes,Shawn Mendes,Pop
Señorita,Shawn Mendes,Señorita,Pop
I Don't Care (with Justin Bieber),Ed Sheeran,I Don't Care (with Justin Bieber),Pop
Paradise,Bazzi,Paradise,Pop
So Am I,Ava Max,So Am I,Pop
If I Can't Have You,Shawn Mendes,If I Can't Have You,Pop
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,ME!,Pop
Boy With Luv (feat. Halsey),BTS,MAP OF THE SOUL : PERSONA,Pop
A Different Way (with Lauv),DJ Snake,A Different Way (with Lauv),Pop
No Brainer,DJ Khaled,No Brainer,Pop
New Rules,Dua Lipa,Dua Lipa (Deluxe),Pop
7 rings,Ariana Grande,7 rings,Pop
No Sleep (feat. Bonn),Martin Garrix,No Sleep (feat. Bonn),Pop
