song_name,artist,album,genre
Chili Hot,Wac Toja,Chili Hot,rap
Układanki,Young Igi,Układanki,rap
SenSei,Trill Pem,SenSei,rap
Promienie Słońca,Young Igi,Promienie Słońca,rap
Twister,Żabson,Twister,rap
Rainman,Tymek,Rainman,rap
Sny z ulicy,Beteo,Sny z ulicy,rap
Yakuza,Szymi Szyms,Yakuza,rap
Klubowa Suka,C0PIK,Klubowa Suka,rap
Surfer,Be Vis,Surfer,rap
Biblioteka Trap,Mata,Biblioteka Trap,rap
Mów,Otsochodzi,Mów,rap
Sikam Szampan,Mr. Polska,Sikam Szampan,rap
Bonnie & Clyde,BLACHA,Bonnie & Clyde,rap
Pure Water (with Migos),Mustard,Pure Water (with Migos),rap
Panini,Lil Nas X,Panini,rap
Poza Kontrolą,Tymek,Poza Kontrolą,rap
Ghetto Flex,Kabe,Ghetto Flex,rap
Worldwide,Otsochodzi,Worldwide,rap
candy.doll,schafter,hors d'oeuvre,rap
"Bad Boy (feat. Beteo, ReTo & Siles)",Kubi Producent,"Bad Boy (feat. Beteo, ReTo & Siles)",rap
Sezon,Otsochodzi,Miłość,rap
Dvd,Mlodyskiny,Dvd,rap
San Andreas,Zeamsone,777,rap
Bestia,Young Igi,Bestia,rap
Porsche,Kukon,Piękny ból,rap
Euforia,Otsochodzi,Euforia,rap
Nowy Kolor,Otsochodzi,Nowy Kolor,rap
Casablanca,BLACHA,Casablanca,rap
Superman,Kubi Producent,Superman,rap
La vida loca,White 2115,La vida loca,rap
SWISH,Tyga,SWISH,rap
Uśmiech,Siles,Uśmiech,rap
Mask Off - Remix,Future,Mask Off (Remix),rap
SAD!,XXXTENTACION,?,rap
Noc,White 2115,Noc,rap
Visa,TACONAFIDE,"Soma 0,5 mg",rap
MINIMINI,2K,BORuto,rap
Yelo,C. Tangana,Yelo,rap
Malportau,Big Soto,Malportau,rap
C90 (Remix),John C,C90 (Remix),rap
FULL ICE (prod. ORODEMBOW),Ysy A,HECHO A MANO,rap
Sake,WE$T DUBAI,Sake,rap
Flashes,ODDLIQUOR,Flashes,rap
Criminal,Neo Pistea,Criminal,rap
Viernes 13,KAKTOV,Viernes 13,rap
Mentira,Kinder Malo,Mentira,rap
Goteo,Duki,Goteo,rap
Boss,La Zowi,Boss,rap
En Bajita,Young Martino,En Bajita,rap
Cara de Diablo,Midel,Cara de Diablo,rap
NI BIEN NI MAL,Bad Bunny,X 100PRE,rap
Fresko,Bhavi,Fresko,rap
Plaqtudum - Frijo & Negro Dub Remix,Recayd Mob,Plaqtudum (Frijo & Negro Dub Remix),rap
Buscando,Yung Sarria,Buscando,rap
"Aleman: Bzrp Music Sessions, Vol. 15",Bizarrap,"Aleman: Bzrp Music Sessions, Vol. 15",rap
Perdón,Duki,Súper Sangre Joven,rap
Cómo Dímelo,Nicki Nicole,Recuerdos,rap
NEGOCIANDO POR TIEMPO (prod. SHIGANT-G),Ysy A,HECHO A MANO,rap
OTRO CHEKE,Rels B,Happy Birthday Flakko,rap
Samurai (feat. Big Soto),Lit Killah,Samurai (feat. Big Soto),rap
A Punta de Espada,Duki,A Punta de Espada,rap
ALMA (prod. 0-600),Ysy A,HECHO A MANO,rap
Gan-Ga,Bryant Myers,Gan-Ga,rap
A$AP,Dillom,A$AP,rap
A Mi Manera,Seven Kayne,A Mi Manera,rap
Te Lo Advertí,Ecko,Te Lo Advertí,rap
Titi Flaco,Pekeño 77,Titi Flaco,rap
LA LATINA,Rels B,LA LATINA,rap
No Creo,Big Soto,No Creo,rap
Mucha Data,Cazzu,Error 93,rap
Zigzag,Bhavi,Zigzag,rap
TRAPPERZ A Mafia Da Sicilia (feat. MC Davo & Fuego),Felp 22,TRAPPERZ A Mafia Da Sicilia (feat. MC Davo & Fuego),rap
Superglue,Dillom,Superglue,rap
No Puedo,Paulo Londra,Homerun,rap
Un Minutito,Aleman,Humo en la Trampa,rap
Animal,Eladio Carrion,Animal,rap
Hitboy,Duki,Hitboy,rap
Toma,Neutro Shorty,Apokalypsis,rap
Caro,Bad Bunny,X 100PRE,rap
Todo de Oro,Ysy A,Todo de Oro,rap
La Playa,Myke Towers,La Playa,rap
La Clase,Cazzu,Error 93,rap
MOSH,Polimá Westcoast,MOSH,rap
Calientito Boyz,Young Eiby,Calientito Boyz,rap
Sin Culpa (feat. DrefQuila),Duki,Sin Culpa (feat. DrefQuila),rap
Si No Fue Asi,Midel,Si No Fue Asi,rap
Tsunami,Bipo Montana,Tsunami,rap
Me Despierto,Ecko,Me Despierto,rap
Humo en la Trampa,Aleman,Humo en la Trampa,rap
Free Life,K-Y-O,Free Life,rap
Sigo Fresh,Fuego,Sigo Fresh,rap
BEACH WITH MY BIX,Young Cister,XTACISS,rap
Osiris,Matstubs,Destined,rap
Eyes Closed,Teri Miko,Eyes Closed,rap
Disconnected,Lucchii,Disconnected,rap
ANXIETY,KLOUD,PRIMAL,rap
Heartless,Miles Away,Heartless,rap
Inside,Jagsy,Inside,rap
ERROR,KLOUD,ERROR,rap
Virtuoso,Sace,Virtuoso,rap
Better Times,Psylla,Better Times,rap
You Dont Know,Sweeper,Animate,rap
Alone,Kløn,Alone,rap
Hollywood's Bleeding,Egzod,Hollywood's Bleeding,rap
Astronomia,32Stitches,Astronomia,rap
Destined,Matstubs,Destined,rap
Lies - ATLAST Remix,KLOUD,Lies (Remixes),rap
Lava Lamp,Luude,Lava Lamp,rap
Poison,Coopex,Poison,rap
Save My Grave,Zeds Dead,We Are Deadbeats (Vol. 4),rap
different,Jaydon Lewis,different,rap
Oops!... I Did It Again,why mona,Oops!... I Did It Again,rap
Chasing Light - Pt. 2,MEMBA,Chasing Light (Pt. 2),rap
Sacrifice,Hex Cougar,Sacrifice,rap
Come Back - Revoke Remix,Sarcastic Sounds,Come Back (Remixes),rap
On My Own,BRAN,On My Own,rap
Blood Moon,Tarro,Blood Moon,rap
Animate,Sweeper,Animate,rap
All in My Head,xChenda,All in My Head,rap
Eclypse,BEATSMASH,Eclypse,rap
Awake,TWO LANES,Drifting,rap
Lies,BEATSMASH,Lies,rap
Dive,Cozmoe,Dive,rap
I’m Fine,William Black,Pages,rap
Satellite,Cozmoe,Satellite,rap
Angst,INZO,Angst,rap
Keep Working,Vaski,Keep Working,rap
Signals,TRY Deny,Signals,rap
lift me from the ground - Jaron Remix,San Holo,album1 (a lot of remixes),rap
Hurts Like Hell,Evernone,Hurts Like Hell,rap
Heartbeats,Fairlane,Heartbeats,rap
Hourglass,Hex Cougar,Hourglass,rap
Back to You,TWO LANES,Drifting,rap
Out of Sight,N3WPORT,Out of Sight,rap
Alive,Snavs,Alive,rap
Planet Earth,Jinco,Planet Earth,rap
Ruins,William Black,Pages,rap
Mercury,Fytch,Mercury,rap
Control,Levianth,Control,rap
Breathe,T-Mass,Breathe,rap
When You Need Me,Silent Child,When You Need Me,rap
Calamity,Psylla,Calamity,rap
so sad,Mike Vallas,so sad,rap
Castles,LEVR,Castles,rap
Lost in the Space,Coopex,Lost in the Space,rap
Drifting - Tim Schaufert Remix,TWO LANES,Drifting (Remixes),rap
The Voices,dreamEater,The Voices,rap
On My Own,Despotem,On My Own,rap
Back Together,William Black,Pages,rap
Go,Uplink,Go,rap
Fallout,The FifthGuys,Fallout,rap
Fall Hard,Bruer,Fall Hard,rap
Dance Monkey,Coopex,Dance Monkey,rap
Distance,Squired,Distance,rap
Hole in the Earth,AWAY,Hole in the Earth,rap
No Escape,2nd Life,No Escape,rap
Back to Black,Besomorph,Back to Black,rap
A Little Less Conversation (feat. The Great Escape),Nebbra,A Little Less Conversation (feat. The Great Escape),rap
Lion,Alban Chela,Lion,rap
Pull Me In,Inukshuk,Pull Me In,rap
W.Y.L.I.G.,The FifthGuys,W.Y.L.I.G.,rap
Insidious,TRVNSPORTER,Insidious,rap
Infected Brain,Levianth,Infected Brain,rap
Bring You Down,KDrew,Bring You Down,rap
Earned It,Despotem,Earned It,rap
Overthinker,INZO,Overthinker,rap
Lovely,Midsplit,Lovely,rap
Find You,Badrapper,Find You,rap
Say It Now,Coopex,Say It Now,rap
I Don't Want That,Attom,I Don't Want That,rap
By My Side,T-Mass,By My Side,rap
Fake Love,The FifthGuys,Fake Love,rap
Eternal,Ericovich,Eternal,rap
The Bottom (feat. Kellin Quinn),YULTRON,The Bottom (feat. Kellin Quinn),rap
Stay Up,Gill Chang,Stay Up,rap
Back Down - Price Park Remix,TWO LANES,Drifting (Remixes),rap
Hard,Noah Neiman,Hard,rap
Drifting,TWO LANES,Drifting,rap
